year,target
5863,-10.35365354636571
5864,-12.107041821530892
5865,-12.672048515840814
5866,-13.16181832577016
5867,-13.58909590602963
5868,-14.214042205135481
5869,-14.015613582362686
5870,-13.461704955482
5871,-10.882721886236476
5872,-11.042180738299212
5873,-10.422766348712154
5874,-8.081705527157167
5875,-7.106560659488625
5876,-6.853456631774852
5877,-7.030924387019764
5878,-7.12860830530439
5879,-7.097571366629458
5880,-6.473705384236787
5881,-6.1201105057977925
5882,-7.590302694766187
5883,-9.375374133241907
5884,-10.603574184840978
5885,-11.857486343033163
5886,-13.219325628608184
5887,-14.718848773530956
5888,-17.449270419360154
5889,-17.692362557591817
5890,-19.18235147410749
5891,-20.66374728395963
5892,-20.2621129347966
5893,-20.297475229393743
5894,-17.299547450334945
5895,-14.258836362914156
5896,-12.090490942882228
5897,-11.376309980747276
5898,-11.27997059126273
5899,-11.439207988475298
5900,-11.541558935293901
5901,-11.01631155014149
5902,-9.68775645652606
5903,-9.819438572349704
5904,-6.7353592003667275
5905,-6.8930025336087395
5906,-8.412699464296436
5907,-10.26707327313095
5908,-11.868812441312325
5909,-14.458399201077222
5910,-17.383004466854338
5911,-18.343188158929184
5912,-20.636080296778083
5913,-21.283870106335634
5914,-21.783542105434027
5915,-20.58192522422012
5916,-20.878292804117066
5917,-18.713081813079228
5918,-12.37494935655232
5919,-11.516128721413006
5920,-10.931796334262385
5921,-10.8928122629363
5922,-10.87742563477333
5923,-10.760247278706462
5924,-9.046638965637259
5925,-6.845808120395111
5926,-6.16107487534112
5927,-5.233820514607031
5928,-5.454648811950352
5929,-3.6895111641486595
5930,-4.799261743695277
5931,-6.351301598345137
5932,-7.059940229425612
5933,-8.29245764832552
5934,-8.518657584903071
5935,-9.848106878888526
5936,-11.14110097578202
5937,-11.321103314725125
5938,-9.098849377982114
5939,-8.697162148036352
5940,-6.749349897399549
5941,-5.504728054446261
5942,-4.971183297623734
5943,-2.787885475429177
5944,-6.866934063937164
5945,-5.589241656483447
5946,-2.2261348870345317
5947,-1.5944018761434606
5948,0.7348064906409117
5949,0.901230056717336
5950,1.6154543013350129
5951,1.7579915109677944
5952,1.550948255631545
5953,1.6055959660137407
5954,1.5003605720727586
5955,-0.4731166770743315
5956,-3.3604507003840163
5957,-6.8574034779283775
5958,-9.42136457129871
5959,-9.10063507267161
5960,-10.775005703934372
5961,-10.70818076871722
5962,-9.836170214752267
5963,-9.697901652953245
5964,-9.83913664571977
5965,-10.11904699780521
5966,-10.416688948383245
5967,-7.47211759237657
5968,-5.819973116113168
5969,-5.5730790524843234
5970,-3.611431133441471
5971,0.467323650454058
5972,1.5004475861850008
5973,1.2503602375976557
5974,-0.34668923954656605
5975,-4.578797741316331
5976,-4.040388217232799
5977,-3.939524289228482
5978,-6.59329954451475
5979,-7.513701787826719
5980,-9.050299077649127
5981,-8.863549757702323
5982,-10.2034874023115
5983,-11.986113575666927
5984,-12.440651384876203
5985,-12.89928217714466
5986,-12.908352225648144
5987,-13.732553807375094
5988,-13.531966551458192
5989,-12.684839332770066
5990,-11.357457575112758
5991,-10.900940342787218
5992,-10.06230260626072
5993,-10.322158597713742
5994,-11.154364126080804
5995,-10.207300097526803
5996,-9.868659961983221
5997,-9.71489446744469
5998,-9.3206423720514
5999,-9.370338213496012
6000,-8.179188172339437
6001,-7.227631091497192
6002,-7.799326830203718
6003,-9.464710466403439
6004,-12.338742490724725
6005,-13.499862013696784
6006,-15.164954275052647
6007,-15.628091394864052
6008,-14.344450461762758
6009,-16.14050808312377
6010,-14.723130011257599
6011,-16.36229692528923
6012,-16.585179764953555
6013,-17.81447241220882
6014,-17.337542305464684
6015,-16.372213267687307
6016,-15.528332389644834
6017,-14.267136088936429
6018,-12.697858659266505
6019,-11.498614838450111
6020,-11.921133020983572
6021,-11.298473916539349
6022,-11.000163546892065
6023,-10.895194206418939
6024,-11.009565002366804
6025,-11.354915882840134
6026,-10.834478792387328
6027,-10.77790017373734
6028,-12.22414083069842
6029,-15.778853401411832
6030,-20.245090831537237
6031,-19.50760117236651
6032,-20.216327639994358
6033,-20.95055792382019
6034,-21.8313948235159
6035,-23.33293061659863
6036,-23.062804560496822
6037,-22.807264503039736
6038,-22.685997274392356
6039,-20.490097122065258
6040,-16.324452532524425
6041,-15.861272303770345
6042,-14.23095447895769
6043,-13.360805975655646
6044,-13.063493003144453
6045,-12.978640520361115
6046,-12.671736519901412
6047,-12.223695848890177
6048,-10.795861901147443
6049,-11.093317828608923
6050,-12.528008123741635
6051,-15.22721282505384
6052,-17.912145168411563
6053,-21.77140282936849
6054,-23.55695872281589
6055,-23.36521204306043
6056,-24.66313172339158
6057,-24.842600266059055
6058,-24.13871394603617
6059,-25.090279217538797
6060,-25.023520074253092
6061,-24.11488932450097
6062,-24.28478561076723
6063,-23.57175189384184
6064,-21.429668818949324
6065,-21.152452291995854
6066,-19.242291203260567
6067,-18.812642286182943
6068,-18.029253760931848
6069,-15.802637066986495
6070,-15.779645405200432
6071,-15.375549791124863
6072,-16.52527792023544
6073,-15.87736285891415
6074,-16.253150639082037
6075,-16.693341823054798
6076,-19.003316925665906
6077,-19.34079206797149
6078,-20.522056144169987
6079,-21.00282116473143
6080,-22.364200074836997
6081,-21.67730904085918
6082,-22.902810240869314
6083,-23.277350629684204
6084,-23.24792341675468
6085,-23.92265140610433
6086,-24.0717808286202
6087,-23.344207649507826
6088,-23.162904261044268
6089,-22.62738839748766
6090,-21.925409413079926
6091,-19.961071314595547
6092,-20.494761712364188
6093,-20.419758644248542
6094,-19.86096462105351
6095,-19.579836427152234
6096,-19.83184695736577
6097,-19.342590963600863
6098,-19.597231734946654
6099,-20.052920454917107
6100,-19.98508133742632
6101,-21.941656874596667
6102,-22.823472939144207
6103,-23.998158931505273
6104,-23.601363493995336
6105,-24.264574680169712
6106,-24.19560121821656
6107,-24.151227410086264
6108,-24.018219068992302
6109,-23.780738180848928
6110,-24.37166081424308
6111,-24.26226318765936
6112,-23.820583074150726
6113,-23.913359997369167
6114,-22.603519260105
6115,-20.586171512368914
6116,-19.938844451324872
6117,-18.88987889965946
6118,-16.837238868905484
6119,-15.561358789453966
6120,-15.563814450884106
6121,-16.612168208870575
6122,-19.66361112820945
6123,-23.156304625067214
6124,-24.44982980234382
6125,-24.020744744382547
6126,-24.258856850676846
6127,-24.20790164194783
6128,-24.49175976473542
6129,-23.800032402717086
6130,-24.388914494345403
6131,-25.597977417303724
6132,-25.525369620252114
6133,-24.59329398271727
6134,-23.89207914601564
6135,-24.706992408311393
6136,-23.465265504950455
6137,-22.439696396287975
6138,-22.695430776640244
6139,-22.906747759606983
6140,-19.923282771922214
6141,-17.474888456460743
6142,-14.636784773374265
6143,-14.80246276253563
6144,-15.1819547775273
6145,-14.809026348215578
6146,-16.839478534827727
6147,-18.360994517051477
6148,-22.729143645219082
6149,-23.303382696467217
6150,-23.264103522821546
6151,-23.395444641441575
6152,-23.597014862442983
6153,-23.531511897175626
6154,-23.314942182493848
6155,-23.21694737267961
6156,-23.32289394494955
6157,-22.86380991448775
6158,-22.450881009616303
6159,-21.691666808010687
6160,-21.540282873022328
6161,-20.127776301190174
6162,-18.15314449341534
6163,-18.62834342487548
6164,-17.432334432087455
6165,-15.682149381523057
6166,-13.67412500748632
6167,-12.141391436412368
6168,-11.585396230023473
6169,-10.746248811932443
6170,-11.167646030953
6171,-12.648627175524602
6172,-15.497778169226356
6173,-17.82488032463133
6174,-20.57548445243365
6175,-23.668199794756777
6176,-23.339473188887656
6177,-22.910159242806305
6178,-22.963248412911533
6179,-23.52752836922474
6180,-22.437917285229975
6181,-20.097027897212733
6182,-18.795079336946397
6183,-19.19604802997266
6184,-18.23749525741699
6185,-18.55818506214652
6186,-18.150815688350725
6187,-17.949630421901503
6188,-16.745370572088014
6189,-16.500270928453197
6190,-17.68911895470436
6191,-14.065178940220662
6192,-14.263832525912033
6193,-14.446111484499516
6194,-14.02794369304377
6195,-13.466097568874932
6196,-13.730217034418464
6197,-13.851965015427869
6198,-13.513810304725194
6199,-15.947078696075053
6200,-18.929196882934367
6201,-20.02093457484768
6202,-20.753162966079156
6203,-20.723866925499117
6204,-21.04876541024481
6205,-18.915252055361343
6206,-14.909626680697125
6207,-11.77896944158446
6208,-11.479370181553106
6209,-11.121812465568382
6210,-11.01583914032902
6211,-10.822438609104003
6212,-10.835363578302658
6213,-8.120206897693636
6214,-7.163878963907242
6215,-5.5920948123494005
6216,-5.659412782040414
6217,-5.085295191003508
6218,-5.574298425545681
6219,-7.699896666296479
6220,-9.609593178388849
6221,-11.113213692602558
6222,-11.42976536604244
6223,-11.832565727245928
6224,-11.530706966698908
6225,-12.146487035883192
6226,-12.392669105673704
6227,-16.530675013069764
6228,-23.639889813147594
6229,-24.854190674248535
6230,-21.733869078890784
6231,-10.840213349411979
6232,-7.397956099775341
6233,-8.010173653857358
6234,-10.169537880611351
6235,-11.654162172979522
6236,-6.577507364256766
6237,-6.771506160666194
6238,-5.6924463694283425
6239,-3.291220731675755
6240,-3.0807194899036103
6241,-5.674863813011399
6242,-6.786681741338155
6243,-7.921330361763052
6244,-9.900287954178658
6245,-10.632248236027205
6246,-10.446288723203661
6247,-11.201167787036166
6248,-11.437223999588095
6249,-13.460997153871745
6250,-17.513002265290602
6251,-16.241976782769054
6252,-12.74997278871522
6253,-12.491819206867321
6254,-11.633703611845581
6255,-11.034222004156224
6256,-10.903209540815343
6257,-8.90105047809983
6258,-9.455806894448603
6259,-8.30600313204003
6260,-4.215087798042579
6261,-3.1041633511196274
6262,-2.0414609402829527
6263,-0.4618370128404846
6264,-0.6689296474391137
6265,-2.508307967711376
6266,-7.391430563360993
6267,-10.133305929197196
6268,-10.236970137564507
6269,-11.339194433772523
6270,-11.438774095998793
6271,-12.052613514819193
6272,-12.60468516626482
6273,-14.094536586345686
6274,-14.010343401576526
6275,-14.383319395513789
6276,-15.431887722880813
6277,-13.927191291887652
6278,-11.545612872669617
6279,-12.850871033584298
6280,-11.190307948511625
6281,-9.481975395052324
